SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE,price_per_sq_ft
Past Sale,Single Family Residential,2446 46th Ave,San Francisco,CA,94116,895000,4,3,Outer Parkside,1998,3000,1947,1,Garage,,Sold,,,,,895000,2016-03-18,1350000,http://www.redfin.com/CA/San-Francisco/2446-46th-Ave-94116/home/1701629,San Francisco Association of Realtors (SFARMLS),442458,Barbagelata Real Estate,N,Y,37.740888,-122.50423,false,676
Past Sale,Single Family Residential,3658 Folsom St,San Francisco,CA,94110,1295000,2,2,Bernal Heights,,1750,1900,2,Garage,,Sold,,,,,1295000,2016-02-17,1530000,http://www.redfin.com/CA/San-Francisco/3658-Folsom-St-94110/home/1362483,San Francisco Association of Realtors (SFARMLS),441269,"Alain Pinel, REALTORS",N,Y,37.7407986,-122.41346,false,
Past Sale,Single Family Residential,56 Harper St,San Francisco,CA,94131,1595000,2,2,Glen Park,1604,1999,1914,1,Garage,,Sold,,,,,1595000,2016-05-27,1675000,http://www.redfin.com/CA/San-Francisco/56-Harper-St-94131/home/1133796,San Francisco Association of Realtors (SFARMLS),444378,Coldwell Banker,N,Y,37.740855,-122.430108,false,1044
Past Sale,Single Family Residential,491 Ulloa St,San Francisco,CA,94127,1095000,2,1,Forest Hill Extension,1352,2650,1920,2,Garage,,Sold,,,,,1095000,2016-06-10,1200000,http://www.redfin.com/CA/San-Francisco/491-Ulloa-St-94127/home/685812,San Francisco Association of Realtors (SFARMLS),444940,Sequoia Real Estate,N,Y,37.7407993,-122.4593351,false,888
Past Sale,Single Family Residential,275 Claremont Blvd,San Francisco,CA,94127,1595000,4,2,West Portal,2569,2739,1922,2,,,Sold,,,,,1595000,2016-07-07,1650000,http://www.redfin.com/CA/San-Francisco/275-Claremont-Blvd-94127/home/1911366,San Francisco Association of Realtors (SFARMLS),445860,Zephyr Real Estate,N,Y,37.740879,-122.46456,false,642
Past Sale,Single Family Residential,132 Brewster St,San Francisco,CA,94110,1595000,4,2.5,Bernal Heights,1932,1750,1986,2,Garage,,Sold,,,,,1595000,2016-03-11,1750000,http://www.redfin.com/CA/San-Francisco/132-Brewster-St-94110/home/1167068,San Francisco Association of Realtors (SFARMLS),441342,Coldwell Banker Res. R.E. Svc.,N,Y,37.7445619,-122.4072443,false,906
Past Sale,Single Family Residential,25 Elsie St,San Francisco,CA,94110,1700000,3,2.5,Bernal Heights,2361,,1988,3,Garage,,Sold,,,,2016-03-07,2399000,2016-04-29,1870000,http://www.redfin.com/CA/San-Francisco/25-Elsie-St-94110/home/1423154,San Francisco Association of Realtors (SFARMLS),437747,"Alain Pinel, REALTORS",N,Y,37.7445418,-122.4163546,false,792
Past Sale,Single Family Residential,1607 Diamond St,San Francisco,CA,94131,1349000,2,1,Noe Valley,,,1910,1,,,Sold,,,,,1349000,2016-06-17,1600000,http://www.redfin.com/CA/San-Francisco/1607-Diamond-St-94131/home/1688521,San Francisco Association of Realtors (SFARMLS),445257,McGuire Real Estate,N,Y,37.744591,-122.435344,false,
Past Sale,Single Family Residential,2371 25th Ave,San Francisco,CA,94116,,,3,94116,1880,,1954,,,,,,,,,,2016-03-23,1000000,http://www.redfin.com/CA/San-Francisco/2371-25th-Ave-94116/home/1873099,,,,N,Y,37.743308,-122.482488,,532
Past Sale,Single Family Residential,2 Rockwood Ct,San Francisco,CA,94127,,,1,94127,1268,,1940,,,,,,,,,,2016-05-11,1175000,http://www.redfin.com/CA/San-Francisco/2-Rockwood-Ct-94127/home/1351682,,,,N,Y,37.7432766,-122.4571581,,927
Past Sale,Single Family Residential,1634 Dolores St,San Francisco,CA,94110,2195000,3,2,Noe Valley,,2848,1941,2,Garage,,Sold,,,,,2195000,2016-07-06,2600000,http://www.redfin.com/CA/San-Francisco/1634-Dolores-St-94110/home/1956525,San Francisco Association of Realtors (SFARMLS),446460,Paragon Real Estate Group,N,Y,37.74324,-122.424737,false,
Past Sale,Single Family Residential,647 Duncan St,San Francisco,CA,94131,,2,2,94131,1439,,1938,,,,,,,,,,2015-11-13,873529,http://www.redfin.com/CA/San-Francisco/647-Duncan-St-94131/home/1923211,,,,N,Y,37.745402,-122.434331,,607
Past Sale,Single Family Residential,2287 16th Ave,San Francisco,CA,94116,1388000,4,2,Inner Parkside,2230,2916,1926,2,Garage,,Sold,,,,,1388000,2015-11-05,1250000,http://www.redfin.com/CA/San-Francisco/2287-16th-Ave-94116/home/1386450,San Francisco Association of Realtors (SFARMLS),438464,Coldwell Banker Res. R.E. Svcs,N,Y,37.7453239,-122.473123,false,561
Past Sale,Condo/Coop,970 Duncan St Unit 202F,San Francisco,CA,94131,599000,1,1,Diamond Heights,744,,1972,1,,,Sold,,,,2016-06-06,639000,2016-06-24,600000,http://www.redfin.com/CA/San-Francisco/970-Duncan-St-94131/unit-202F/home/1067093,San Francisco Association of Realtors (SFARMLS),444129,Paragon Real Estate Group,N,Y,37.745384,-122.442035,false,806
Past Sale,Single Family Residential,320 Woodside Ave,San Francisco,CA,94127,1288000,3,2,Forest Hill Extension,1075,6185,1952,1,Garage,,Sold,,,,2015-12-08,1500000,2016-07-01,1150000,http://www.redfin.com/CA/San-Francisco/320-Woodside-Ave-94127/home/1395298,San Francisco Association of Realtors (SFARMLS),439800,Asia Pacific Groups,N,Y,37.745406,-122.4534,false,1070
Past Sale,Multi-Family (2-4 Unit),1785 Alabama St,San Francisco,CA,94110,,,2,94110,2244,,1909,,,,,,,,,,2016-05-09,411500,http://www.redfin.com/CA/San-Francisco/1785-Alabama-St-94110/home/2024976,,,,N,Y,37.744457,-122.410101,,183
Past Sale,Single Family Residential,13 Costa St,San Francisco,CA,94110,899000,2,1,Bernal Heights,750,1750,1908,1,Garage,,Sold,,,,,899000,2016-05-12,985000,http://www.redfin.com/CA/San-Francisco/13-Costa-St-94110/home/1784663,San Francisco Association of Realtors (SFARMLS),443140,Coldwell Banker Previews Int'l,N,Y,37.7445128,-122.4062686,false,1313
Past Sale,Single Family Residential,639 28th St,San Francisco,CA,94131,1675000,2,2,Noe Valley,1845,2848,1949,2,Garage,,Sold,,,,,1675000,2016-05-20,1750000,http://www.redfin.com/CA/San-Francisco/639-28th-St-94131/home/1891445,San Francisco Association of Realtors (SFARMLS),443652,Sotheby's International Realty,N,Y,37.744465,-122.436553,false,949
